Error: Release Year Invalid         - show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
Error: No Countries Listed          - s646,Movie,Murder by the Coast,T?ˇnia Ball??,,23-Jun-21,2021,TV-14,89 min,"Documentaries,International Movies",In 1999  teen Roc??o Wanninkhof is murdered. Her mother's ex-partner  Dolores V?≠zquez  is suspected. Did she do it? A second victim reveals the truth.
Error: No Countries Listed          - s647,Movie,The House of Flowers: The Movie,Manolo Caro,,23-Jun-21,2021,TV-MA,88 min,"Comedies,International Movies,Music & Musicals",The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.
Error: No Countries Listed          - s648,TV Show,The Parisian Agency: Exclusive Properties,,,23-Jun-21,2021,TV-G,1 Season,"International TV Shows,Reality TV",This reality series follows the Kretz family and their luxury property business as they help clients buy and sell fabulous homes in France and abroad.
Error: No Countries Listed          - s650,Movie,Broken,Anurin Nwunembom,,22-Jun-21,2019,TV-14,108 min,"Dramas,International Movies,Romantic Movies",After running away from her marriage  a woman enters a dangerous agreement with an unfamiliar man to save her father's company and her reputation.
Error: No Countries Listed          - s653,Movie,Osuofia in London II,Kingsley Ogoro,,22-Jun-21,2004,TV-14,70 min,"Comedies,Dramas,International Movies",After collecting his brother's inheritance  Osoufia returns to his Nigerian village with wealth and a British wife whose presence soon causes trouble.
Error: No Countries Listed          - s654,TV Show,This Is Pop,,,22-Jun-21,2021,TV-MA,1 Season,"Docuseries,International TV Shows",Uncover the real stories behind your favorite pop songs as this docuseries charts the impact of the festival scene  Auto-Tune  boy bands and more.
Error: No Countries Listed          - s659,TV Show,"Nevertheless,",,,20-Jun-21,2021,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Dramas",The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.
Error: No Countries Listed          - s664,TV Show,Charit?? at War,,,19-Jun-21,2019,TV-MA,1 Season,"International TV Shows,TV Dramas",In 1943  the staff at Berlin's Charit?? hospital struggle against the effects of World War II and the Nazi regime  including eugenic medical practices.
Error: No Countries Listed          - s667,TV Show,Gameboys Level-Up Edition,Ivan Andrew Payawal,,19-Jun-21,2020,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",In this recut of the popular web series  live-stream gamer Cairo calls for a rematch after losing to newcomer Gavreel É?? and an online romance blooms.
Error: No Countries Listed          - s671,Movie,Mobile Suit Gundam II: Soldiers of Sorrow,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",,19-Jun-21,1981,TV-14,133 min,"Action & Adventure,Anime Features,International Movies",The Earth Federation warship White Base and its Gundam pilot Amuro Ray struggle to make it back through enemy territory  pursued by Zeon's warriors.
Error: No Countries Listed          - s672,Movie,Mobile Suit Gundam III: Encounters in Space,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",,19-Jun-21,1982,TV-MA,140 min,"Action & Adventure,Anime Features,International Movies",The Earth Federation prepares to take the war into the Duchy of Zeon's home territory. Veteran pilot Amuro Ray returns to space for the final battle.
Error: No Countries Listed          - s673,Movie,Mobile Suit Gundam: Char's Counterattack,Yoshiyuki Tomino,,19-Jun-21,1988,TV-14,120 min,"Action & Adventure,Anime Features,International Movies",Thirteen years after the war  the Neo Zeon army threatens the peace. Armed with the Nu Gundam  Amuro Ray and Federation forces take the field once more.
Error: No Countries Listed          - s684,Movie,A Family,Michihito Fujii,,18-Jun-21,2021,TV-MA,135 min,"Dramas,International Movies",Taken in by the yakuza at a young age  Kenji swears allegiance to his old-school boss  pledging to adhere to the family code amid ever-changing times.
Error: No Countries Listed          - s688,Movie,Jagame Thandhiram,Karthik Subbaraj,,18-Jun-21,2021,TV-MA,159 min,"Action & Adventure,Dramas,International Movies",When a clever  carefree gangster is recruited to help an overseas crime lord take down a rival  he is caught off guard by the moral dilemmas that follow.
Error: No Countries Listed          - s690,Movie,Mobile Suit Gundam I,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",,18-Jun-21,1981,TV-14,139 min,"Action & Adventure,Anime Features,Classic Movies",The Earth Federation's last hope in its fight against the Principality of Zeon is the prototype mobile suit Gundam  piloted by civilian Amur Ray.
Error: No Countries Listed          - s691,Movie,Rurouni Kenshin: The Final,Keishi Otomo,,18-Jun-21,2021,TV-14,137 min,"Action & Adventure,International Movies",In 1879  Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions  who've vowed their revenge.
Error: No Countries Listed          - s692,TV Show,So Not Worth It,,,18-Jun-21,2021,TV-14,1 Season,"International TV Shows,TV Comedies",New friends  new loves and new experiences mix together inside a colorful college dormitory in Korea that's home to students from around the world.
Error: No Countries Listed          - s693,TV Show,The Rational Life,Hsu Fu-chun,,18-Jun-21,2021,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Dramas",A career-driven 30-something must contend with a cutthroat workplace  a love triangle and her nagging mom.
Error: No Countries Listed          - s694,Movie,Ali & Ratu Ratu Queens,Lucky Kuswandi,,17-Jun-21,2021,TV-14,101 min,"Comedies,Dramas,International Movies",After his father's passing  a teenager sets out for New York in search of his estranged mother and soon finds love and connection in unexpected places.
Error: No Countries Listed          - s696,Movie,Besieged Bread,Soudade Kaadan,,17-Jun-21,2015,TV-14,12 min,"Dramas,International Movies",In battle-ridden Syria  a woman trying to smuggle bread into a blockaded area crosses paths with a soldier who has deserted the regime's forces.
Error: No Countries Listed          - s698,TV Show,Elite Short Stories: Carla Samuel,,,17-Jun-21,2021,TV-MA,1 Season,"International TV Shows,Romantic TV Shows,Spanish-Language TV Shows",Samuel attempts a big  romantic gesture at the airport in order to persuade Carla not to board her flight to London.
Error: No Countries Listed          - s701,TV Show,Record of Ragnarok,,,17-Jun-21,2021,TV-MA,1 Season,"Anime Series,International TV Shows",Before eradicating humankind from the world  the gods give them one last chance to prove themselves worthy of survival. Let the Ragnarok battles begin.
Error: No Countries Listed          - s705,Movie,A Man For The Week End,Achille Brice,,16-Jun-21,2018,TV-14,95 min,"Comedies,Dramas,International Movies",A career-focused woman convinces a colleague to pose as her boyfriend for a family visit É?? and must face a meddling mom and some unexpected feelings.
Error: No Countries Listed          - s707,TV Show,Elite Short Stories: Omar Ander Alexis,,,16-Jun-21,2021,TV-MA,1 Season,"International TV Shows,Spanish-Language TV Shows,TV Dramas",Now in remission  Ander is set on spending his summer helping Alexis  his chemo partner  go through treatment.
Error: No Countries Listed          - s708,TV Show,Let's Eat,Sarawut Wichiensarn,,16-Jun-21,2021,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",A food-blogging insurance agent encounters a friend from elementary school with a vendetta against him É?? but soon becomes her sidekick.
Error: No Countries Listed          - s711,TV Show,Penguin Town,,,16-Jun-21,2021,TV-PG,1 Season,"Docuseries,Science & Nature TV",In a picturesque South African town  an eclectic group of endangered penguins flock together to find mates  raise families and mix with the locals.
Error: No Countries Listed          - s713,Movie,Silver Skates,Michael Lockshin,,16-Jun-21,2020,TV-MA,138 min,"Action & Adventure,Dramas,International Movies",On the frozen rivers and canals of St. Petersburg  a petty thief on skates warms the heart of an aristocratÉ??s daughter as forces try to keep them apart.
Error: No Countries Listed          - s715,TV Show,Beyond Evil,,,15-Jun-21,2021,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Thrillers",As a killing resembling a cold case resurfaces in a small town  the chase for the truth falls on two policemen who each harbor secrets of their own.
Error: No Countries Listed          - s716,TV Show,Elite Short Stories: Nadia Guzm?≠n,,,15-Jun-21,2021,TV-MA,1 Season,"International TV Shows,Romantic TV Shows,Spanish-Language TV Shows",Nadia feels conflicted about whether or not to see her long distance boyfriend  Guzm?≠n  when she returns to Spain for her sister's wedding.
Error: No Countries Listed          - s718,Movie,Headspace: Unwind Your Mind,,,15-Jun-21,2021,TV-G,273 min,Documentaries,Do you want to relax  meditate or sleep deeply? Personalize the experience according to your mood or mindset with this Headspace interactive special.
Error: No Countries Listed          - s721,TV Show,Rhyme Time Town,,,15-Jun-21,2021,TV-Y,2 Seasons,Kids' TV,Fun-loving friends Daisy and Cole use music and imagination to solve problems in a town filled with nursery rhyme characters.
Error: No Countries Listed          - s726,TV Show,Elite Short Stories: Guzm?≠n Caye Rebe,,,14-Jun-21,2021,TV-MA,1 Season,"International TV Shows,Spanish-Language TV Shows,TV Dramas",Rebe hosts an intimate house warming party for her friends  but the situation takes a dramatic turn with the help of drugs and unexpected visitors.
Error: No Countries Listed          - s730,Movie,Bling Empire - The Afterparty,,,12-Jun-21,2021,TV-MA,36 min,Movies,"The stars of ""Bling Empire"" discuss the show's success and play bling-themed games  then comic Joel Kim Booster makes his case for joining the cast."
Error: No Countries Listed          - s731,Movie,Cobra Kai - The Afterparty,,,12-Jun-21,2021,TV-MA,34 min,Movies,"Ralph Macchio  William Zabka and more from the ""Cobra Kai"" cast drop by to chat Season 3 (spoilers ahead!)  followed by Bill Burr of ""F Is for Family."""
Error: No Countries Listed          - s733,Movie,To All the Boys: Always and Forever - The Afterparty,,,12-Jun-21,2021,TV-MA,36 min,Movies,"Cast members of the ""To All the Boys"" films dish about the third movie and answer some fan questions  plus Whitney Cummings gives suspect dating advice."
Error: No Countries Listed          - s739,Movie,Trese After Dark,,,11-Jun-21,2021,TV-14,36 min,"Anime Features,Documentaries",Stars and creators gather to discuss É??Trese É?ù from its Filipino folklore inspirations to the comicÉ??s beginnings and its journey to an anime series.
Error: No Countries Listed          - s752,TV Show,Guru Aur Bhole,,,8-Jun-21,2018,TV-Y7,2 Seasons,"Kids' TV,TV Comedies",A singer and a dancer who are best friends use their artistic abilities to get out of one hilariously sticky situation after another.
Error: No Countries Listed          - s760,Movie,Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,George Ford,,4-Jun-21,2015,TV-G,60 min,Movies,The first of its kind in UHD 4K  with the clearest picture available  a real fireplace sparks and crackles  adding warmth and atmosphere to any home.
Error: No Countries Listed          - s761,Movie,Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,George Ford,,4-Jun-21,2015,TV-G,60 min,Movies,For the first time in 4K Ultra-HD  everyone's favorite Yuletide fireplace snaps and crackles in crystal clear  high-def holiday warmth.
Error: No Countries Listed          - s762,TV Show,Human: The World Within,,,4-Jun-21,2021,TV-PG,1 Season,"Docuseries,Science & Nature TV",Cutting-edge science and captivating personal stories collide in this illuminating docuseries about the incredible workings of the human body.
Error: No Countries Listed          - s772,TV Show,Pretty Guardian Sailor Moon Eternal The Movie,Chiaki Kon,,3-Jun-21,2021,TV-14,1 Season,TV Shows,When a dark power enshrouds the Earth after a total solar eclipse  the scattered Sailor Guardians must reunite to bring light back into the world.
Error: No Countries Listed          - s782,Movie,Black Holes | The Edge of All We Know,Peter Galison,,2-Jun-21,2021,TV-14,99 min,Documentaries,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.
Error: No Countries Listed          - s806,TV Show,Racket Boys,,,2-Jun-21,2021,TV-14,1 Season,"International TV Shows,TV Comedies,TV Dramas",A city kid is brought to the countryside by his father's new coaching gig: reviving a ragtag middle school badminton team on the brink of extinction.
Error: No Countries Listed          - s807,Movie,Seven Souls in the Skull Castle: Season Moon Jogen,Hidenori Inoue,,2-Jun-21,2017,TV-14,204 min,"Action & Adventure,Dramas,International Movies",Japan  1590. Wandering samurai band together to take on the lord of Skull Castle in the É??Moon JogenÉ?ù version of the show  performed in a 360?ß theater.
Error: No Countries Listed          - s808,Movie,Seven Souls in the Skull Castle: Season Moon Kagen,Hidenori Inoue,,2-Jun-21,2017,TV-PG,212 min,"Action & Adventure,Dramas,International Movies",Japan  1590. Wandering samurai band together to take on the lord of Skull Castle in the É??Moon KagenÉ?ù version of the show  performed in a 360?ß theater.
Error: No Countries Listed          - s812,Movie,Super Monsters: Once Upon a Rhyme,Steve Ball,,2-Jun-21,2021,TV-Y,25 min,Children & Family Movies,From Goldilocks to Hansel and Gretel  the Super Monsters reimagine classic fairy tales and favorite nursery rhymes with a musical  magical spin!
Error: No Countries Listed          - s816,Movie,The Girl King,Mika Kaurism??ki,,2-Jun-21,2015,TV-MA,106 min,"Dramas,International Movies,LGBTQ Movies",Sweden's forward-thinking Queen Kristina resists her country's conservative ideals  which only grow more restrictive when she falls for a woman.
Error: No Countries Listed          - s828,Movie,One Lagos Night,Ekene Som Mekwunye,,29-May-21,2021,TV-14,103 min,"Comedies,International Movies",A desperate man attempts to burglarize the home of a wealthy woman  but finds himself face-to-face with a crew of armed robbers who have the same idea.
Error: No Countries Listed          - s830,Movie,Dog Gone Trouble,Kevin Johnson,,28-May-21,2021,TV-Y7,88 min,"Children & Family Movies,Comedies",The privileged life of a pampered dog named Trouble is turned upside-down when he gets lost and must learn to survive on the big-city streets.
Error: No Countries Listed          - s832,TV Show,The Least Expected Day: Inside the Movistar Team 2019,"Jos?? Larraza, Marc Pons",,28-May-21,2021,TV-MA,2 Seasons,"Docuseries,International TV Shows,Spanish-Language TV Shows",Pro cyclingÉ??s Movistar Team sets their sights on victory while on the road as they face challenges  controversy and internal conflict.
Error: No Countries Listed          - s833,TV Show,Word of Honor,Gary Sing,,28-May-21,2021,TV-14,1 Season,"International TV Shows,TV Action & Adventure,TV Dramas",A disillusioned royal magistrate sets out for the martial arts world  where he encounters a bosom friend and becomes entangled in a conspiracy.
Error: No Countries Listed          - s836,TV Show,Eden,,,27-May-21,2021,TV-PG,1 Season,"Anime Series,International TV Shows",A human girl secretly raised by robots starts to uncover the dark secrets behind her lush  utopian world where humanity has all but vanished.
Error: No Countries Listed          - s842,Movie,Gatao - The Last Stray,Ray Jiang,,26-May-21,2021,TV-MA,120 min,"Action & Adventure,Dramas,International Movies",Romance unexpectedly blossoms when a freelance photographer arrives late to her assignment at a full moon celebration thrown for a mob boss's newborn.
Error: No Countries Listed          - s843,TV Show,High on the Hog: How African American Cuisine Transformed America,,,26-May-21,2021,TV-14,1 Season,Docuseries,Black food is American food. Chef and writer Stephen Satterfield traces the delicious  moving throughlines from Africa to Texas in this docuseries.
Error: No Countries Listed          - s845,Movie,Nail Bomber: Manhunt,Daniel Vernon,,26-May-21,2021,TV-MA,73 min,"Documentaries,International Movies",This documentary examines the 1999 London bombings that targeted Black  Bangladeshi and gay communities  and the race to find the far-right perpetrator.
Error: No Countries Listed          - s846,Movie,A Place in the Stars,Steve Gukas,,25-May-21,2014,TV-14,110 min,"Dramas,International Movies,Thrillers",A young lawyer who has information about counterfeit drug trafficking in Nigeria must choose between betraying his conscience or revealing the truth.
Error: No Countries Listed          - s848,TV Show,Mad for Each Other,,,24-May-21,2021,TV-MA,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",Bothered to realize they are next-door neighbors and share a psychiatrist  a man and a woman find it's impossible to stay out of each other's way.
Error: No Countries Listed          - s850,Movie,Sam Smith: Love Goes - Live at Abbey Road Studios,,,22-May-21,2020,TV-G,61 min,"International Movies,Music & Musicals",Grammy-winning artist Sam Smith gives an intimate  soulful performance at the iconic Abbey Road Studios featuring songs from their third album and more.
Error: No Countries Listed          - s852,Movie,99 Songs (Tamil),,,21-May-21,2021,TV-14,131 min,"Dramas,International Movies,Music & Musicals",Challenged to compose 100 songs before he can marry the girl he loves  a tortured but passionate singer-songwriter embarks on a poignant musical journey.
Error: No Countries Listed          - s853,Movie,99 Songs (Telugu),,,21-May-21,2021,TV-14,131 min,"Dramas,International Movies,Music & Musicals",Challenged to compose 100 songs before he can marry the girl he loves  a tortured but passionate singer-songwriter embarks on a poignant musical journey.
Error: No Countries Listed          - s855,Movie,Creating an Army of the Dead,,,21-May-21,2021,TV-MA,29 min,Documentaries,"Zack Snyder and his ""Army of the Dead"" team dive into the film's wild stunts  groundbreaking effects and the evolution of the zombie genre."
Error: No Countries Listed          - s857,Movie,Strain,Uduak-Obong Patrick,,21-May-21,2020,TV-MA,107 min,"Dramas,International Movies",When his son is diagnosed with sickle cell disease  a man and his family struggle to face a new reality as they rediscover their shared love.
Error: No Countries Listed          - s859,Movie,678,Mohamed Diab,,20-May-21,2009,TV-14,99 min,"Dramas,Independent Movies,International Movies",This film sheds light on sexual harassment in Egypt  following the lives of three women from different social classes who have been subjected to it.
Error: No Countries Listed          - s862,Movie,Little Singham Future mein Satakli,Prakash Satam,,20-May-21,2021,TV-Y7,47 min,"Children & Family Movies,Comedies",Little Singham and his crew travel to the year 2050 to rescue kids from the evil rule of Junglee Joker  who has forbidden them from laughter or play!
Error: No Countries Listed          - s865,Movie,Taxi No. 9211,Milan Luthria,,20-May-21,2006,TV-14,116 min,"Dramas,International Movies,Thrillers",When an arrogant scion hails his taxi  a cabbie in desperate need of money sees an opportunity that kicks off an intensely contentious 24-hour showdown.
Error: No Countries Listed          - s876,Movie,Love or Money,Mae Czarina Cruz,,15-May-21,2020,TV-MA,116 min,"Dramas,International Movies,Romantic Movies",When persistent Leon sweeps her off her feet  ambitious Angel must choose between true love and her dreams of a luxurious life.
Error: No Countries Listed          - s887,TV Show,The Mystic River,Uzodinma Okpechi,,14-May-21,2020,TV-14,1 Season,"International TV Shows,TV Horror,TV Sci-Fi & Fantasy",As pregnant women vanish in a remote Nigerian village over decades  a doctor with child finds herself extremely close to uncovering dangerous secrets.
Error: No Countries Listed          - s889,Movie,The Upshaws - The Afterparty,,,14-May-21,2021,TV-14,32 min,Comedies,"The comedic dream team from ""The Upshaws"" discuss the hit series  share some anecdotes from their own upbringings and play a little swag-centric game."
Error: No Countries Listed          - s894,Movie,Wave of Cinema: Filosofi Kopi,Adriano Rudiman,,13-May-21,2020,TV-14,64 min,"Documentaries,International Movies,Music & Musicals","In this concert film  artists perform music from the soundtrack of ""Filosofi Kopi "" which tells the story of coffee and the people who cherish it."
Error: No Countries Listed          - s898,TV Show,Use For My Talent,Cai Cong,,12-May-21,2021,TV-14,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",When the germophobic owner of a cleaning company encounters a slovenly employee  a romance blossoms as they help one another heal from their pasts.
Error: No Countries Listed          - s899,Movie,Dear Affy,Samuel Olatunji,,11-May-21,2020,TV-14,126 min,"Comedies,Dramas,International Movies",An engaged couple hit a number of speed bumps on their road to matrimony including major career complications and questions of fidelity.
Error: No Countries Listed          - s913,Movie,The Circle - The Afterparty,,,7-May-21,2021,TV-14,35 min,Comedies,"Stars of ""The Circle"" drop by to discuss Season 2's big winner  some juicy behind-the-scenes gossip and their enduring friendships with one another."
Error: No Countries Listed          - s924,TV Show,Trash Truck,,,4-May-21,2021,TV-Y,2 Seasons,Kids' TV,Six-year old Hank and his best pal  a giant trash truck  explore the world around them on fantastical adventures with their animal friends.
Error: No Countries Listed          - s926,TV Show,Angelina Ballerina,,,1-May-21,2010,TV-Y,2 Seasons,"British TV Shows,Kids' TV",Angelina is crazy about ballet dancing  even though she's a young mouse  and studies hard with a famous teacher to become a prima ballerina.
Error: No Countries Listed          - s928,TV Show,Barney and Friends,,,1-May-21,2010,TV-Y,2 Seasons,Kids' TV,Barney the purple dinosaur  Baby Bop and B.J. are still bringing smiles to kids' faces with their nonstop adventures  stories  games and guests.
Error: No Countries Listed          - s930,Movie,Dead Again in Tombstone,Roel Rein??,,1-May-21,2017,R,99 min,"Action & Adventure,Horror Movies",At the devil's bidding  a deceased outlaw returns to life bent on protecting an ancient relic from a group of soldiers É?? and raising all kinds of hell.
Error: No Countries Listed          - s937,TV Show,Miniforce: Super Dino Power,,,1-May-21,2020,TV-Y7,1 Season,Kids' TV,Animals with special powers transform into superheroes with robot dinosaurs to protect peace on Earth from menacing villains.
Error: No Countries Listed          - s938,Movie,Motu Patlu in Dragon's World,Suhas Kadav,,1-May-21,2017,TV-Y7,78 min,"Children & Family Movies,Comedies",A trip to a magical land of dragons turns action-packed when Motu  Patlu and friends must help protect the kingdom from an evil neighbor.
Error: No Countries Listed          - s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,,1-May-21,2019,TV-Y7,87 min,"Children & Family Movies,Comedies,Music & Musicals",A board game becomes all too real for buddies Motu and Patlu when they get transported into its world of monsters  magic and mayhem.
Error: No Countries Listed          - s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,,1-May-21,2013,TV-Y7,76 min,"Children & Family Movies,Music & Musicals",When pals Motu and Patlu take a ride in their scientist friendÉ??s newly built plane  a crash-landing on a strange island leads to action and adventure.
Error: No Countries Listed          - s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,,1-May-21,2014,TV-Y7,76 min,"Children & Family Movies,Comedies",Friends Motu and Patlu get more maritime excitement than anticipated when the sinking of their ship sends them on a journey through the ocean floor!
Error: No Countries Listed          - s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,,1-May-21,2013,TV-Y7,71 min,"Children & Family Movies,Comedies",An otherworldly enemy has been turning the moonÉ??s soil into gold for his own greedy interests! Can friends Motu and Patlu stop him?
Error: No Countries Listed          - s958,TV Show,Pet Stars,,,30-Apr-21,2021,TV-PG,1 Season,Reality TV,Follow talent management company Pets on Q as they work with the biggest animal influencers on social media in this reality series.
Error: No Countries Listed          - s959,Movie,Seven,Tosin Igho,,30-Apr-21,2019,TV-14,113 min,"Dramas,International Movies",After his affluent father passes  a man must survive seven days in the Nigerian neighborhood of Ajegunle  where obstacles keep him from his inheritance.
Error: No Countries Listed          - s961,TV Show,The Innocent,Oriol Paulo,,30-Apr-21,2021,TV-MA,1 Season,"Crime TV Shows,International TV Shows,Spanish-Language TV Shows",An accidental killing leads a man down a dark hole of intrigue and murder. Just as he finds love and freedom  one phone call brings back the nightmare.
Error: No Countries Listed          - s962,Movie,The Mitchells vs. The Machines,"Mike Rianda, Jeff Rowe",,30-Apr-21,2021,PG,114 min,"Children & Family Movies,Comedies",A robot apocalypse put the brakes on their cross-country road trip. Now itÉ??s up to the Mitchells É?? the worldÉ??s weirdest family É?? to save the human race.
Error: No Countries Listed          - s964,TV Show,The Unremarkable Juanquini,,,30-Apr-21,2021,TV-MA,2 Seasons,"International TV Shows,Spanish-Language TV Shows,TV Comedies",An inept magician pulls off the trick of his life: accidentally disappearing a wanted criminal during a police raid. Now he's going to pay for that.
Error: No Countries Listed          - s965,Movie,Things Heard & Seen,"Robert Pulcini, Shari Springer Berman",,29-Apr-21,2021,TV-MA,121 min,"Horror Movies,Thrillers",A young woman discovers that both her husband and their new home harbor sinister secrets after they leave Manhattan for small-town life.
Error: No Countries Listed          - s966,TV Show,Yasuke,,,29-Apr-21,2021,TV-MA,1 Season,"Anime Series,International TV Shows",A peaceful boatman once known as the Black Samurai is pulled back into conflict when he takes a little girl with mysterious powers under his wing.
Error: No Countries Listed          - s968,TV Show,Headspace Guide to Sleep,,,28-Apr-21,2021,TV-G,1 Season,"Docuseries,Science & Nature TV",Learn how to sleep better with Headspace. Each episode unpacks misconceptions  offers friendly tips and concludes with a guided wind-down.
Error: No Countries Listed          - s988,Movie,Legal Hash,Rindala Kodeih,,23-Apr-21,2019,TV-MA,103 min,"Comedies,International Movies",After a failed heist leads to a stint behind bars  a group of men reenters society with a risky business plan that soon reveals their true colors.
Error: No Countries Listed          - s993,Movie,Perfume Imaginary Museum É??Time WarpÉ?ù,"MIKIKO, Daito Manabe",,23-Apr-21,2020,TV-G,54 min,"International Movies,Music & Musicals","This visually stunning special performance was the highlight of PerfumeÉ??s ""P.O.P"" Festival É?? the J-pop trioÉ??s 20th anniversary online celebration."
Error: No Countries Listed          - s1001,Movie,Wild Dog,Ahishor Solomon,,22-Apr-21,2020,TV-MA,126 min,"Action & Adventure,International Movies",A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security.
Error: No Countries Listed          - s1006,Movie,Keymon and Nani in Space Adventure,,,20-Apr-21,2013,TV-Y,76 min,"Children & Family Movies,Comedies",For Rohan and his magical pal  Keymon  a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!
Error: No Countries Listed          - s1007,Movie,Motu Patlu Dino Invasion,Suhas Kadav,,20-Apr-21,2018,TV-Y7,80 min,"Children & Family Movies,Comedies",A time machine sends Motu and Patlu back to the dinosaur period  but the real trouble starts when the reptiles travel back to the present day with them!
Error: No Countries Listed          - s1008,Movie,Motu Patlu in Octupus World,Suhas Kadav,,20-Apr-21,2017,TV-Y,81 min,"Children & Family Movies,Comedies",While returning a goldfish and an octopus from an aquarium to the sea  Motu and Patlu must also save the goldfishÉ??s family from a mean  tentacled queen.
Error: No Countries Listed          - s1009,Movie,Motu Patlu VS Robo Kids,Suhas Kadav,,20-Apr-21,2019,TV-Y,84 min,Children & Family Movies,For Motu  facing off against three children becomes an unexpected challenge when he realizes they have superstrength É?? and a secret!
Error: No Countries Listed          - s1010,Movie,Rudra: Secret of the Black Moon,"Akshay Sanjeev Chavan, Sumit Das",,20-Apr-21,2020,TV-Y7,87 min,Children & Family Movies,Kid magician Rudra sets out to save Earth from the demon of Black Moon planet  but can he get the job done if his spells donÉ??t work on enemy territory?
Error: No Countries Listed          - s1011,Movie,Rudra: The Rise of King Pharaoh,,,20-Apr-21,2019,TV-Y7,91 min,Children & Family Movies,When a malicious  resurrected mummy begins to steal the energy of young people in Mumbai  kid magician Rudra must use his special powers to stop him.
Error: No Countries Listed          - s1026,TV Show,Bakugan: Geogan Rising,,,16-Apr-21,2021,TV-Y7,1 Season,"Anime Series,Kids' TV",The Awesome Brawlers band together to fight off a powerful enemy determined to break the bond between Earth and Vestroia  the Bakugan's home planet.
Error: No Countries Listed          - s1029,Movie,Dad Stop Embarrassing Me - The Afterparty,,,16-Apr-21,2021,TV-14,37 min,Comedies,Jamie Foxx  David Alan Grier and more from the cast of the family comedy discuss the show  humiliating family moments  bad BBQ dishes and sitcom openings.
Error: No Countries Listed          - s1039,TV Show,Dancing Angels,,,15-Apr-21,2016,TV-PG,1 Season,"International TV Shows,Romantic TV Shows,TV Comedies",A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship  romance  and life at school.
Error: No Countries Listed          - s1055,Movie,Wave of Cinema: One Day We'll Talk About Today,Adriano Rudiman,,15-Apr-21,2020,TV-14,71 min,"Documentaries,International Movies,Music & Musicals","Delve into a musical concert and relive moments from ""One Day We'll Talk About Today "" a film about family and intergenerational trauma."
Error: No Countries Listed          - s1057,TV Show,Ajaibnya Cinta,,,14-Apr-21,2015,TV-PG,1 Season,"International TV Shows,TV Dramas","Upon returning home from his studies abroad  young grad Akif finds himself involved with four women in this continuation of the series ""Spain Uoolss."""
Error: No Countries Listed          - s1072,Movie,Motu Patlu in Hong Kong: Kung Fu Kings 3,Suhas Kadav,,13-Apr-21,2017,TV-Y7,84 min,"Children & Family Movies,Music & Musicals",With a dangerous villain to defeat in Hong Kong  Motu takes his martial arts skills to the next level  training with a boneless master to face the foe.
Error: No Countries Listed          - s1073,Movie,Motu Patlu in the City of Gold,Suhas Kadav,,13-Apr-21,2018,TV-Y7,77 min,"Children & Family Movies,Comedies,Music & Musicals",Defeated by the strong yet naive Motu in a race  an evil horseback rider challenges him to a more dangerous mission: finding a lost city of treasure!
Error: No Countries Listed          - s1074,Movie,Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Suhas Kadav,,13-Apr-21,2018,TV-Y7,86 min,"Children & Family Movies,Music & Musicals",While in Japan  best friends Motu and Patlu have only one month to train for an epic martial arts battle against two wicked but highly skilled brothers.
Error: No Countries Listed          - s1075,Movie,Motu Patlu the Superheroes É?? Super Villains from Mars,Suhas Kadav,,13-Apr-21,2019,TV-Y7,79 min,Children & Family Movies,Friends Motu and Patlu must save the world from three space thieves  but the job gets much harder when a cosmic collision gives the enemies superpowers!
Error: No Countries Listed          - s1077,Movie,Shiva VS Autobots,Suhas Kadav,,13-Apr-21,2018,TV-Y7,80 min,Children & Family Movies,When an evil enemy gains control of a gadget that sends vehicles destructively spinning out of control  kid superhero Shiva must stop the chaos!
