Error: Release Year Invalid         - show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description
Error: No Countries Listed          - s3551,TV Show,Styling Hollywood,,,30-Aug-19,2019,TV-14,1 Season,Reality TV,Whether styling superstars or elevating A-list homes  couple Jason Bolden and Adair Curtis of JSN Studio connect famous clientele with the chicest looks.
Error: No Countries Listed          - s3563,TV Show,HERO MASK,,,23-Aug-19,2019,TV-14,2 Seasons,"Anime Series,Crime TV Shows,International TV Shows",After a rash of mysterious deaths  Crown prosecutor Sarah Sinclair and SSC agent James Blood discover a conspiracy surrounding uncanny new bio-masks.
Error: No Countries Listed          - s3569,Movie,Game Over (Hindi Version),Ashwin Saravanan,,21-Aug-19,2019,TV-MA,98 min,"Horror Movies,International Movies,Thrillers",As a series of murders hit close to home  a video game designer with post-traumatic stress must confront her demons  or risk becoming their victim.
Error: No Countries Listed          - s3571,Movie,Game Over (Telugu Version),Ashwin Saravanan,,21-Aug-19,2019,TV-MA,98 min,"Horror Movies,International Movies,Thrillers",As a series of murders hit close to home  a video game designer with PTSD must confront her demons  or risk becoming their victim.
Error: No Countries Listed          - s3593,TV Show,Happy Jail,,,14-Aug-19,2019,TV-MA,1 Season,"Crime TV Shows,Docuseries",The Philippine jail known for a viral Michael Jackson dance video comes under the management of an ex-convict  sparking controversy and criticism.
Error: No Countries Listed          - s3600,Movie,Colin Quinn: Red State Blue State,Robert Moresco,,9-Aug-19,2019,TV-14,66 min,Stand-Up Comedy,Stand-up comedian Colin Quinn calls out the hypocrisies of the left and the right in this special based on his politically charged Off-Broadway show.
Error: No Countries Listed          - s3629,Movie,L??a & I,Camille Shooshani,,2-Aug-19,2019,TV-MA,84 min,Documentaries,Best friends L??a and Camille explore the notion of healing while traveling to Latin America in search of a cure for a terminal disease.
Error: No Countries Listed          - s3636,Movie,Whitney Cummings: Can I Touch It?,Marcus Raboy,,30-Jul-19,2019,TV-MA,59 min,Stand-Up Comedy,In her fourth stand-up special  Whitney Cummings returns to her hometown of Washington  D.C.  and riffs on modern feminism  technology and more.
Error: No Countries Listed          - s3672,TV Show,Extreme Engagement,,,12-Jul-19,2019,TV-MA,1 Season,"International TV Shows,Reality TV",An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?
Error: No Countries Listed          - s3675,TV Show,PILI Fantasy: War of Dragons,,,12-Jul-19,2019,TV-14,1 Season,"International TV Shows,TV Action & Adventure,TV Sci-Fi & Fantasy",As turmoil looms in the Martial World  and the Eight Wonders of the Evil Dragon unleashes dark forces  who will emerge as the new warrior legend?
Error: No Countries Listed          - s3678,TV Show,True Tunes,,,12-Jul-19,2019,TV-Y,1 Season,Kids' TV,True and her friends are dropping sweet  silly beats with freshly modern music videos set to the sounds of classic nursery rhyme songs.
Error: No Countries Listed          - s3685,TV Show,Kakegurui,,,4-Jul-19,2019,TV-MA,2 Seasons,"International TV Shows,TV Dramas,TV Thrillers",Yumeko Jabami enrolls at Hyakkaou Private Academy  where students are ranked by their gambling winnings and fame and fortune awaits those on top.
Error: No Countries Listed          - s3711,TV Show,Answer for Heaven,,,27-Jun-19,2019,TV-MA,1 Season,"Crime TV Shows,International TV Shows,TV Comedies",An angel falls to earth to investigate why humans are doing fewer good deeds É?? and falls in with a hard-charging crime reporter and his news team.
